Beam Size,Real Time
1, 12
2, 14
3, 19
4, 26
5, 31
6, 41
7, 48
8, 55
9, 67
10, 78
11, 85
12, 89
13, 100
14, 108
15, 118
16, 120
17, 140
18, 145
19, 158
20, 170
21, 166
22, 175
23, 185
24, 206
25, 246
